id,lokasi,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,kapasitas_garasi,usia_bangunan,jarak_pusat_kota_km,harga_juta
1,Jakarta Selatan,137,94,3,2,1,11,3.8,2486.53
2,Jakarta Selatan,115,75,2,1,1,16,14.5,1737.78
3,Tangerang Selatan,143,118,3,2,1,6,21.8,1924.88
4,Bekasi,173,146,3,3,2,8,15.6,1760.58
5,Bekasi,112,100,3,3,1,2,7.2,1304.81
6,Tangerang Selatan,112,81,2,1,2,12,10.8,1422.99
7,Jakarta Selatan,175,125,4,3,1,14,12.4,3091.57
8,Tangerang Selatan,147,122,3,2,1,17,15.3,1896.74
9,Jakarta Selatan,104,73,1,1,2,18,19.5,1597.99
10,Depok,139,122,3,2,1,0,4.3,1757.76
11,Bekasi,104,89,3,3,1,5,22.5,955.97
12,Bekasi,104,76,2,1,1,22,2.3,944.45
13,Depok,128,106,2,2,1,1,10.5,1384.74
14,Jakarta Selatan,53,44,1,1,1,23,2.6,905.97
15,Bekasi,60,38,1,1,0,13,11.0,502.82
16,Jakarta Barat,100,87,1,1,1,5,14.1,1555.1
17,Depok,85,64,2,2,1,13,13.8,890.55
18,Jakarta Barat,131,111,2,2,1,3,5.8,2277.09
19,Bekasi,88,61,1,2,1,20,16.9,729.3
20,Depok,71,62,3,2,1,7,3.0,911.03
21,Jakarta Selatan,171,123,4,3,1,2,19.5,2964.13
22,Jakarta Barat,112,68,3,3,2,18,23.8,1418.12
23,Bekasi,122,106,3,2,1,13,9.8,1269.1
24,Tangerang Selatan,70,44,1,1,1,19,13.9,715.78
25,Jakarta Barat,101,70,2,1,2,16,10.7,1382.08
26,Jakarta Selatan,124,110,3,3,1,24,2.2,2355.91
27,Jakarta Selatan,80,71,2,2,1,7,10.9,1554.44
28,Depok,133,103,3,2,1,23,20.2,1175.32
29,Tangerang Selatan,99,78,2,2,1,13,15.7,1256.05
30,Jakarta Selatan,110,81,3,3,1,5,4.3,2190.88
31,Jakarta Barat,99,68,3,2,2,22,21.5,1232.88
32,Jakarta Barat,185,129,5,4,2,21,14.2,2651.27
33,Jakarta Selatan,120,96,2,2,1,15,21.4,1884.59
34,Jakarta Barat,83,69,2,1,2,24,15.3,1130.26
35,Jakarta Barat,149,125,5,4,1,18,14.9,2347.78
36,Jakarta Barat,77,64,1,1,0,13,4.4,1236.04
37,Bekasi,127,80,1,2,1,18,5.8,1085.54
38,Jakarta Selatan,51,38,1,2,0,2,24.4,703.3
39,Tangerang Selatan,74,46,1,2,1,9,7.3,981.58
40,Tangerang Selatan,127,97,4,3,1,18,24.5,1499.71
41,Tangerang Selatan,146,107,2,2,1,8,14.2,1857.59
42,Tangerang Selatan,126,109,3,3,1,19,5.1,1801.21
43,Tangerang Selatan,116,82,2,1,1,12,4.3,1532.1
44,Depok,109,69,1,2,1,6,6.8,1062.26
45,Tangerang Selatan,68,44,1,1,0,13,23.3,591.29
46,Tangerang Selatan,95,79,3,2,1,8,11.5,1395.25
47,Bekasi,104,82,2,1,1,22,11.1,943.66
48,Tangerang Selatan,157,99,3,2,2,24,9.2,1918.57
49,Jakarta Barat,132,83,2,1,2,18,5.4,1888.1
50,Jakarta Selatan,58,47,2,1,1,14,13.2,973.51
51,Jakarta Selatan,131,81,2,1,1,19,5.0,2109.85
52,Depok,107,91,4,4,1,13,21.2,1122.73
53,Bekasi,96,78,2,1,2,23,10.5,876.29
54,Depok,141,88,3,2,2,5,10.6,1415.74
55,Tangerang Selatan,156,98,3,2,1,20,12.9,1839.19
56,Tangerang Selatan,153,137,4,4,2,3,12.2,2366.75
57,Jakarta Selatan,91,65,2,1,1,7,24.9,1383.72
58,Tangerang Selatan,109,78,2,1,1,16,14.5,1238.41
59,Tangerang Selatan,132,111,3,3,1,8,4.0,1992.03
60,Depok,154,136,5,4,2,0,16.0,1769.32
61,Jakarta Selatan,103,92,3,2,1,23,5.5,1894.99
62,Tangerang Selatan,114,94,3,2,2,19,2.7,1615.8
63,Tangerang Selatan,81,58,3,3,2,24,24.3,941.24
64,Tangerang Selatan,78,49,1,1,0,13,19.8,778.01
65,Tangerang Selatan,148,123,3,3,1,10,24.5,1929.15
66,Bekasi,167,128,5,4,1,20,13.0,1712.19
67,Jakarta Selatan,117,85,2,2,1,2,14.2,2054.26
68,Bekasi,155,135,4,4,1,8,5.9,1728.97
69,Tangerang Selatan,133,84,1,2,1,13,7.7,1585.74
70,Depok,97,73,2,1,2,8,21.3,943.64
71,Bekasi,133,80,2,2,1,3,10.2,1339.54
72,Jakarta Barat,174,129,4,3,1,3,21.0,2588.0
73,Jakarta Barat,119,73,3,2,1,7,18.3,1626.26
74,Depok,175,111,3,2,1,1,6.1,1822.8
75,Tangerang Selatan,45,29,1,2,1,8,13.7,678.47
76,Depok,149,118,3,3,1,13,17.6,1527.55
77,Jakarta Selatan,123,101,3,3,2,21,7.4,2204.89
78,Tangerang Selatan,110,85,2,1,1,8,21.1,1409.46
79,Bekasi,123,109,2,1,2,23,14.5,1044.32
80,Depok,50,36,1,2,0,22,5.8,546.99
81,Jakarta Barat,112,77,2,1,1,15,15.4,1532.54
82,Bekasi,132,114,4,3,2,16,25.0,1323.36
83,Tangerang Selatan,172,115,3,2,1,15,5.5,2141.25
84,Jakarta Selatan,102,91,4,3,2,11,20.8,1914.95
85,Tangerang Selatan,92,56,1,1,1,2,6.8,1246.21
86,Tangerang Selatan,102,91,4,3,2,10,20.0,1423.19
87,Depok,152,93,2,1,2,13,18.9,1287.4
88,Tangerang Selatan,132,114,3,2,2,17,8.9,1868.84
89,Jakarta Selatan,101,77,2,2,2,20,9.5,1750.22
90,Jakarta Selatan,138,124,3,2,1,20,20.2,2346.02
91,Jakarta Barat,123,77,2,1,1,4,12.6,1753.97
92,Jakarta Barat,154,118,3,2,1,15,18.8,2161.63
93,Bekasi,95,85,2,1,1,19,5.4,887.95
94,Jakarta Barat,109,83,2,2,1,4,21.6,1648.46
95,Depok,106,84,2,2,1,2,18.4,1111.7
96,Depok,69,56,2,1,0,11,22.9,617.06
97,Tangerang Selatan,130,96,3,2,1,0,5.0,1970.11
98,Depok,129,102,3,3,2,20,15.6,1349.41
99,Bekasi,120,93,2,2,1,8,15.8,1102.91
100,Tangerang Selatan,112,97,4,3,2,8,10.1,1768.07
101,Jakarta Selatan,70,43,1,1,1,3,12.5,1202.37
102,Tangerang Selatan,105,72,2,1,1,2,2.9,1632.23
103,Tangerang Selatan,108,96,3,3,1,16,19.2,1381.01
104,Depok,92,80,3,2,2,1,14.6,1157.54
105,Tangerang Selatan,114,84,1,2,1,23,3.3,1446.21
106,Depok,134,105,3,2,1,0,17.7,1443.61
107,Tangerang Selatan,186,127,4,3,2,7,12.7,2491.29
108,Jakarta Selatan,126,83,2,1,1,12,2.8,2252.13
109,Depok,129,95,2,1,1,22,24.3,1062.39
110,Tangerang Selatan,117,83,3,2,1,14,23.8,1286.49
111,Jakarta Barat,53,41,2,1,0,7,13.8,857.25
112,Tangerang Selatan,119,74,2,1,1,11,4.2,1594.44
113,Jakarta Selatan,122,109,3,3,2,21,19.4,2110.36
114,Tangerang Selatan,206,185,6,4,2,11,13.3,2974.66
115,Tangerang Selatan,113,91,3,2,2,13,9.0,1561.66
116,Jakarta Barat,131,100,2,2,1,14,13.3,1806.64
117,Depok,119,82,2,2,1,14,14.0,1146.54
118,Tangerang Selatan,79,67,2,2,1,8,14.9,1037.84
119,Jakarta Selatan,160,129,4,4,1,18,12.1,2778.87
120,Tangerang Selatan,146,95,3,2,1,19,15.9,1766.99
121,Depok,148,129,5,4,1,21,23.1,1524.45
122,Jakarta Selatan,88,75,3,3,1,7,10.3,1770.54
123,Jakarta Selatan,169,150,4,3,1,20,18.7,2920.21
124,Jakarta Selatan,71,58,1,1,1,18,22.6,821.55
125,Jakarta Selatan,141,111,4,4,1,5,12.5,2741.88
126,Bekasi,197,143,5,4,1,19,12.2,1841.71
127,Bekasi,85,75,1,1,2,24,15.8,721.18
128,Jakarta Barat,100,86,3,2,1,18,15.6,1360.26
129,Tangerang Selatan,123,75,3,2,1,3,20.6,1567.82
130,Jakarta Barat,102,62,2,1,2,22,13.0,1258.62
131,Depok,66,47,1,1,0,6,24.9,457.6
132,Depok,122,103,3,3,1,3,3.4,1471.54
133,Jakarta Barat,83,74,1,1,2,21,2.1,1294.79
134,Depok,137,88,3,2,1,11,16.7,1342.13
135,Bekasi,88,68,3,3,1,12,8.9,911.64
136,Jakarta Barat,174,124,3,3,1,2,7.5,2817.57
137,Jakarta Selatan,93,83,2,2,1,21,9.2,1641.9
138,Tangerang Selatan,109,93,3,3,1,11,7.9,1654.72
139,Bekasi,148,126,4,3,1,1,2.7,1697.98
140,Depok,77,57,3,2,1,23,24.3,657.26
141,Bekasi,128,93,3,2,1,1,7.1,1303.93
142,Depok,166,113,3,2,2,22,18.9,1499.58
143,Tangerang Selatan,64,39,1,1,1,8,19.5,676.26
144,Bekasi,126,108,3,2,1,0,23.4,1318.21
145,Bekasi,129,109,3,3,1,7,2.7,1507.54
146,Jakarta Barat,147,132,4,3,1,22,22.1,2127.89
147,Tangerang Selatan,77,69,1,1,0,5,14.1,979.51
148,Bekasi,74,57,1,1,1,5,16.5,708.82
149,Jakarta Selatan,138,115,3,2,1,21,16.8,2192.02
150,Bekasi,130,115,3,2,2,24,20.9,1236.54
151,Jakarta Selatan,129,110,4,4,1,17,9.7,2416.3
152,Tangerang Selatan,132,89,3,2,1,16,18.9,1553.14
153,Bekasi,96,71,2,1,1,11,14.2,849.04
154,Jakarta Barat,128,82,2,1,1,5,20.2,1687.67
155,Jakarta Selatan,130,115,2,2,2,7,24.8,2269.66
156,Jakarta Barat,95,74,2,1,2,18,6.6,1440.74
157,Depok,185,124,3,2,2,9,24.9,1713.56
158,Jakarta Selatan,137,110,4,3,1,0,4.1,2787.11
159,Depok,78,61,1,1,1,24,2.1,799.1
160,Jakarta Selatan,143,101,3,3,1,12,3.0,2669.78
161,Depok,86,55,1,2,1,16,9.9,786.37
162,Depok,148,119,4,3,1,2,16.6,1681.24
163,Tangerang Selatan,161,122,3,3,2,7,3.6,2332.04
164,Tangerang Selatan,91,76,2,2,1,13,2.1,1396.12
165,Tangerang Selatan,154,116,2,2,1,2,23.6,1864.95
166,Tangerang Selatan,134,115,3,3,1,15,20.9,1742.02
167,Jakarta Selatan,149,114,3,2,1,12,20.6,2431.47
168,Jakarta Selatan,186,143,5,4,3,19,22.3,3193.23
169,Jakarta Selatan,111,96,3,2,2,23,18.1,1832.42
170,Jakarta Barat,94,68,1,2,2,16,4.4,1452.16
171,Jakarta Barat,89,57,1,1,2,12,11.2,1275.33
172,Tangerang Selatan,91,55,2,2,1,5,18.6,1090.3
173,Depok,117,97,3,3,1,16,8.4,1293.55
174,Jakarta Barat,132,104,2,1,1,13,17.8,1894.71
175,Tangerang Selatan,130,105,3,3,1,16,2.6,1805.22
176,Jakarta Barat,149,99,3,2,2,7,9.0,2251.75
177,Bekasi,120,77,2,1,1,10,14.6,1018.61
178,Depok,171,103,3,3,1,19,16.5,1480.43
179,Depok,111,78,2,1,1,0,15.3,1120.95
180,Depok,215,167,5,4,2,6,18.0,2330.02
181,Jakarta Selatan,142,102,2,2,2,20,2.1,2544.35
182,Bekasi,90,66,1,1,1,20,4.3,823.5
183,Bekasi,83,72,3,2,1,16,22.0,724.21
184,Jakarta Selatan,137,97,4,3,1,9,17.7,2407.03
185,Depok,112,84,2,1,1,10,4.6,1091.95
186,Jakarta Selatan,145,121,3,3,2,21,21.4,2338.78
187,Tangerang Selatan,137,98,3,2,2,8,7.6,1810.96
188,Jakarta Selatan,117,92,3,2,2,8,13.0,2121.97
189,Jakarta Barat,90,77,1,1,2,23,5.3,1298.48
190,Bekasi,67,59,1,1,1,4,18.3,712.82
191,Tangerang Selatan,104,67,2,2,1,16,17.3,1060.89
192,Jakarta Barat,150,132,4,3,1,8,6.9,2540.25
193,Jakarta Barat,127,95,2,2,1,16,21.9,1696.26
194,Bekasi,76,51,1,1,0,23,11.2,578.96
195,Jakarta Selatan,126,93,3,3,1,20,8.7,2234.4
196,Jakarta Barat,133,119,3,2,2,18,5.5,2184.12
197,Depok,89,67,1,1,1,6,8.1,964.85
198,Bekasi,125,87,1,2,1,22,2.5,1051.27
199,Jakarta Barat,122,96,3,2,1,8,15.4,1824.53
200,Bekasi,80,54,1,2,2,6,21.4,622.34
201,Bekasi,133,83,2,1,1,12,14.6,1163.61
202,Depok,140,89,3,2,1,10,7.0,1440.29
203,Tangerang Selatan,158,101,2,1,1,13,2.8,2028.65
204,Jakarta Selatan,157,101,3,3,1,18,6.9,2584.4
205,Jakarta Barat,72,46,1,1,0,10,11.6,919.72
206,Jakarta Barat,87,69,3,2,2,12,19.5,1307.55
207,Tangerang Selatan,138,90,4,3,1,13,6.3,1844.72
208,Jakarta Selatan,138,97,3,2,1,12,18.6,2189.69
209,Tangerang Selatan,138,120,3,2,1,0,21.9,1888.04
210,Jakarta Barat,255,189,5,4,2,7,12.4,3912.39
211,Jakarta Barat,140,112,3,3,2,11,20.9,2047.5
212,Depok,160,104,4,4,1,18,14.8,1485.38
213,Tangerang Selatan,153,101,2,2,1,11,16.7,1859.5
214,Jakarta Selatan,143,88,2,1,1,7,14.1,2358.56
215,Bekasi,109,71,2,2,2,7,12.7,1046.32
216,Jakarta Selatan,147,100,2,1,2,20,7.4,2400.62
217,Bekasi,93,61,1,1,1,12,9.0,859.74
218,Bekasi,112,70,2,1,1,11,8.7,1040.98
219,Jakarta Barat,103,66,2,1,1,15,15.0,1308.76
220,Bekasi,123,91,4,4,2,0,4.8,1517.31
221,Tangerang Selatan,201,133,5,4,3,12,23.1,2518.25
222,Tangerang Selatan,55,39,1,1,0,6,18.6,649.89
223,Jakarta Selatan,144,108,3,2,1,4,11.2,2649.23
224,Jakarta Barat,64,52,1,2,1,7,5.6,1034.12
225,Depok,103,63,2,1,1,24,22.3,736.02
226,Jakarta Barat,158,133,4,3,2,13,20.9,2407.8
227,Tangerang Selatan,122,96,3,2,1,22,18.6,1454.47
228,Tangerang Selatan,82,51,1,2,1,12,8.2,1054.82
